City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,28,0,10.0,clear sky
1,Aasiaat,GL,68.7098,-52.8699,11.26,92,100,5.88,overcast clouds
2,Klaksvik,FO,62.2266,-6.589,49.12,88,67,34.43,light rain
3,Cape Town,ZA,-33.9258,18.4232,61.27,72,0,14.97,clear sky
4,Cherskiy,RU,68.75,161.3,0.68,96,100,4.05,overcast clouds
5,Tasiilaq,GL,65.6145,-37.6368,37.56,85,100,20.89,overcast clouds
6,Aldama,MX,22.9167,-98.0667,57.36,59,99,10.22,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,58.48,90,100,1.92,overcast clouds
8,Dingle,PH,10.9995,122.6711,79.72,88,93,8.21,overcast clouds
9,Zyryanka,RU,65.75,150.85,-9.33,98,100,13.58,light snow
10,Hobart,AU,-42.8794,147.3294,56.05,70,75,4.61,broken clouds
11,Port Lincoln,AU,-34.7333,135.8667,60.75,63,5,17.74,clear sky
12,Bata,GQ,1.8639,9.7658,76.42,89,99,9.78,overcast clouds
13,Albany,US,42.6001,-73.9662,38.62,87,88,10.09,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,53.26,40,75,4.61,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,72.95,91,100,26.53,moderate rain
16,Sorong,ID,-0.8833,131.25,82.18,77,99,2.77,overcast clouds
17,Narsaq,GL,60.9167,-46.05,25.02,92,61,6.31,broken clouds
18,Kassala,SD,15.451,36.4,80.53,35,1,7.09,clear sky
19,Pangkalanbuun,ID,-2.6833,111.6167,76.33,94,100,1.5,overcast clouds
20,Veraval,IN,20.9,70.3667,75.4,47,4,10.31,clear sky
21,Butaritari,KI,3.0707,172.7902,81.07,73,55,18.9,broken clouds
22,Khatanga,RU,71.9667,102.5,-26.12,100,98,4.83,overcast clouds
23,Ponta Do Sol,PT,32.6667,-17.1,70.72,83,76,7.96,broken clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,79.11,65,40,4.61,scattered clouds
25,Inta,RU,66.0317,60.1659,-9.06,88,13,9.89,few clouds
26,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,28,6.42,scattered clouds
27,Kavieng,PG,-2.5744,150.7967,84.4,68,100,8.88,overcast clouds
28,Kamenka,RU,51.3223,42.7678,31.3,99,100,3.83,light snow
29,Arlit,NE,18.7369,7.3853,68.56,19,5,6.96,clear sky
30,Pula,HR,44.8683,13.8481,55.96,94,100,3.44,overcast clouds
31,Port Elizabeth,ZA,-33.918,25.5701,64.31,75,0,10.36,clear sky
32,Torbay,CA,47.6666,-52.7314,33.58,77,100,9.22,overcast clouds
33,Kapaa,US,22.0752,-159.319,80.92,62,75,11.5,broken clouds
34,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,2.3,broken clouds
35,Avarua,CK,-21.2078,-159.775,78.85,65,40,13.8,scattered clouds
36,Port Hardy,CA,50.6996,-127.4199,42.98,75,20,0.0,few clouds
37,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,55,0,20.71,clear sky
38,Yellowknife,CA,62.456,-114.3525,0.55,78,75,4.61,light snow
39,Porto Nacional,BR,-10.7081,-48.4172,80.6,95,99,5.26,overcast clouds
40,Dickinson,US,29.4608,-95.0513,54.16,69,40,8.05,scattered clouds
41,Mahebourg,MU,-20.4081,57.7,68.29,83,75,2.3,broken clouds
42,Busselton,AU,-33.65,115.3333,59.86,71,77,16.17,broken clouds
43,Faanui,PF,-16.4833,-151.75,79.52,75,100,3.49,overcast clouds
44,Te Anau,NZ,-45.4167,167.7167,61.18,74,100,1.77,overcast clouds
45,Saskylakh,RU,71.9167,114.0833,-27.51,99,100,5.17,overcast clouds
46,Mount Gambier,AU,-37.8333,140.7667,57.15,57,57,5.01,broken clouds
47,Esperance,AU,-33.8667,121.9,66.0,58,71,17.6,broken clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,68.95,72,75,3.44,broken clouds
49,Kenai,US,60.5544,-151.2583,34.14,71,0,14.97,clear sky
50,New Norfolk,AU,-42.7826,147.0587,55.71,58,97,1.01,overcast clouds
51,Corning,US,42.1428,-77.0547,38.25,78,100,10.36,overcast clouds
52,Ucluelet,CA,48.9329,-125.5528,49.08,78,19,1.32,few clouds
53,Barrow,US,71.2906,-156.7887,28.42,74,0,17.27,clear sky
54,Bengkulu,ID,-3.8004,102.2655,74.28,95,100,19.46,light rain
55,Tiksi,RU,71.6872,128.8694,-21.41,99,91,4.07,overcast clouds
56,Bilibino,RU,68.0546,166.4372,-7.1,96,95,2.98,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,31.91,85,100,6.06,overcast clouds
58,Severo-Kurilsk,RU,50.6789,156.125,35.13,64,76,6.98,broken clouds
59,Nanortalik,GL,60.1432,-45.2371,20.08,76,43,21.74,scattered clouds
60,Muroto,JP,33.2833,134.15,61.52,56,97,4.5,overcast clouds
61,Lata,PT,40.1629,-8.3327,63.07,98,100,9.33,light rain
62,Castro,BR,-24.7911,-50.0119,58.39,74,1,5.79,clear sky
63,Talnakh,RU,69.4865,88.3972,-28.16,99,43,4.32,scattered clouds
